environment | time (s),Akt | Akt_PIPP_percent (dimensionless)
0,0
1,2.04518e-5
2,0.00133061
3,0.00976622
4,0.0322772
5,0.0717606
6,0.126884
7,0.194178
8,0.269837
9,0.35063
10,0.434183
11,0.518929
12,0.603955
13,0.688833
14,0.773485
15,0.858076
16,0.942939
17,1.02853
18,1.1154
19,1.20415
20,1.29546
21,1.39005
22,1.48868
23,1.5922
24,1.70149
25,1.81753
26,1.94137
27,2.07417
28,2.21722
29,2.37195
30,2.53997
31,2.72308
32,2.92328
33,3.14283
34,3.38421
35,3.6501
36,3.94331
37,4.26662
38,4.62254
39,5.01296
40,5.4388
41,5.89968
42,6.39376
43,6.9179
44,7.46795
45,8.03927
46,8.62716
47,9.2272
48,9.83544
49,10.4485
50,11.0637
51,11.6785
52,12.2913
53,12.9005
54,13.5049
55,14.1036
56,14.696
57,15.2814
58,15.8595
59,16.4299
60,16.9924
61,17.5469
62,18.0932
63,18.6313
64,19.1612
65,19.6829
66,20.1965
67,20.7019
68,21.1993
69,21.6887
70,22.1703
71,22.644
72,23.1101
73,23.5686
74,24.0196
75,24.4632
76,24.8996
77,25.3288
78,25.751
79,26.1661
80,26.5745
81,26.9761
82,27.371
83,27.7595
84,28.1414
85,28.517
86,28.8863
87,29.2495
88,29.6066
89,29.9577
90,30.3029
91,30.6423
92,30.9759
93,31.3039
94,31.6263
95,31.9432
96,32.2547
97,32.5609
98,32.8618
99,33.1575
100,33.4481
101,33.7337
102,34.0143
103,34.29
104,34.5608
105,34.8269
106,35.0883
107,35.345
108,35.5972
109,35.8449
110,36.0882
111,36.327
112,36.5616
113,36.7919
114,37.018
115,37.24
116,37.458
117,37.6719
118,37.8818
119,38.0879
120,38.2901
121,38.4885
122,38.6833
123,38.8743
124,39.0617
125,39.2455
126,39.4259
127,39.6028
128,39.7762
129,39.9463
130,40.1131
131,40.2766
132,40.437
133,40.5941
134,40.7482
135,40.8992
136,41.0471
137,41.1921
138,41.3342
139,41.4734
140,41.6097
141,41.7433
142,41.8741
143,42.0022
144,42.1276
145,42.2504
146,42.3706
147,42.4883
148,42.6035
149,42.7162
150,42.8264
151,42.9343
152,43.0399
153,43.1431
154,43.2441
155,43.3428
156,43.4393
157,43.5337
158,43.6259
159,43.716
160,43.8041
161,43.8901
162,43.9741
163,44.0561
164,44.1362
165,44.2144
166,44.2908
167,44.3653
168,44.4379
169,44.5088
170,44.5779
171,44.6453
172,44.711
173,44.775
174,44.8374
175,44.8982
176,44.9573
177,45.0149
178,45.0709
179,45.1255
180,45.1785
181,45.23
182,45.2802
183,45.3288
184,45.3761
185,45.422
186,45.4666
187,45.5098
188,45.5517
189,45.5923
190,45.6316
191,45.6697
192,45.7065
193,45.7421
194,45.7766
195,45.8098
196,45.8419
197,45.8729
198,45.9027
199,45.9314
200,45.9591
201,45.9857
202,46.0112
203,46.0357
204,46.0591
205,46.0816
206,46.1031
207,46.1236
208,46.1431
209,46.1617
210,46.1793
211,46.1961
212,46.2119
213,46.2269
214,46.2409
215,46.2541
216,46.2665
217,46.278
218,46.2887
219,46.2986
220,46.3077
221,46.316
222,46.3235
223,46.3302
224,46.3362
225,46.3414
226,46.3459
227,46.3497
228,46.3528
229,46.3551
230,46.3568
231,46.3578
232,46.3581
233,46.3577
234,46.3567
235,46.3551
236,46.3528
237,46.3498
238,46.3463
239,46.3421
240,46.3373
241,46.332
242,46.326
243,46.3195
244,46.3124
245,46.3047
246,46.2964
247,46.2876
248,46.2783
249,46.2684
250,46.258
251,46.2471
252,46.2356
253,46.2236
254,46.2112
255,46.1982
256,46.1847
257,46.1708
258,46.1563
259,46.1414
260,46.126
261,46.1102
262,46.0939
263,46.0771
264,46.0599
265,46.0422
266,46.0241
267,46.0056
268,45.9866
269,45.9673
270,45.9474
271,45.9272
272,45.9066
273,45.8855
274,45.8641
275,45.8422
276,45.82
277,45.7974
278,45.7744
279,45.751
280,45.7272
281,45.703
282,45.6785
283,45.6536
284,45.6284
285,45.6027
286,45.5768
287,45.5505
288,45.5238
289,45.4968
290,45.4694
291,45.4417
292,45.4136
293,45.3853
294,45.3566
295,45.3275
296,45.2982
297,45.2685
298,45.2385
299,45.2082
300,45.1775
301,45.1466
302,45.1153
303,45.0838
304,45.0519
305,45.0198
306,44.9873
307,44.9545
308,44.9215
309,44.8882
310,44.8545
311,44.8206
312,44.7864
313,44.7519
314,44.7172
315,44.6821
316,44.6468
317,44.6112
318,44.5754
319,44.5393
320,44.5029
321,44.4662
322,44.4293
323,44.3921
324,44.3547
325,44.317
326,44.279
327,44.2408
328,44.2023
329,44.1636
330,44.1247
331,44.0855
332,44.046
333,44.0063
334,43.9664
335,43.9262
336,43.8858
337,43.8451
338,43.8043
339,43.7631
340,43.7218
341,43.6802
342,43.6384
343,43.5964
344,43.5541
345,43.5116
346,43.4689
347,43.426
348,43.3829
349,43.3395
350,43.2959
351,43.2521
352,43.2081
353,43.1639
354,43.1195
355,43.0748
356,43.03
357,42.9849
358,42.9397
359,42.8942
360,42.8485
361,42.8027
362,42.7566
363,42.7103
364,42.6639
365,42.6172
366,42.5704
367,42.5233
368,42.4761
369,42.4286
370,42.381
371,42.3332
372,42.2852
373,42.237
374,42.1886
375,42.1401
376,42.0913
377,42.0424
378,41.9933
379,41.944
380,41.8946
381,41.845
382,41.7952
383,41.7452
384,41.695
385,41.6447
386,41.5942
387,41.5435
388,41.4927
389,41.4417
390,41.3905
391,41.3392
392,41.2877
393,41.236
394,41.1842
395,41.1322
396,41.0801
397,41.0278
398,40.9753
399,40.9227
400,40.87
401,40.817
402,40.764
403,40.7108
404,40.6574
405,40.6039
406,40.5502
407,40.4964
408,40.4424
409,40.3883
410,40.3341
411,40.2797
412,40.2251
413,40.1705
414,40.1157
415,40.0607
416,40.0056
417,39.9504
418,39.895
419,39.8396
420,39.7839
421,39.7282
422,39.6723
423,39.6163
424,39.5602
425,39.5039
426,39.4475
427,39.391
428,39.3344
429,39.2776
430,39.2207
431,39.1637
432,39.1066
433,39.0494
434,38.992
435,38.9346
436,38.877
437,38.8193
438,38.7615
439,38.7036
440,38.6456
441,38.5875
442,38.5292
443,38.4709
444,38.4124
445,38.3539
446,38.2952
447,38.2365
448,38.1776
449,38.1187
450,38.0596
451,38.0005
452,37.9412
453,37.8819
454,37.8224
455,37.7629
456,37.7033
457,37.6436
458,37.5838
459,37.5239
460,37.464
461,37.4039
462,37.3438
463,37.2836
464,37.2233
465,37.1629
466,37.1024
467,37.0419
468,36.9813
469,36.9206
470,36.8598
471,36.799
472,36.7381
473,36.6771
474,36.6161
475,36.5549
476,36.4938
477,36.4325
478,36.3712
479,36.3098
480,36.2484
