environment | time (s),ERK | ERKPP_percent (dimensionless)
0,0
1,5.76293e-30
2,1.35611e-22
3,7.84013e-19
4,2.32812e-16
5,1.52886e-14
6,4.028e-13
7,5.75984e-12
8,5.32337e-11
9,3.54415e-10
10,1.83117e-9
11,7.72809e-9
12,2.76503e-8
13,8.6244e-8
14,2.39623e-7
15,6.0305e-7
16,1.39335e-6
17,2.98915e-6
18,6.00929e-6
19,1.14098e-5
20,2.05984e-5
21,3.55609e-5
22,5.89997e-5
23,9.44847e-5
24,0.000146601
25,0.000221104
26,0.000325062
27,0.000467007
28,0.000657065
29,0.000907065
30,0.00123066
31,0.0016434
32,0.00216283
33,0.00280854
34,0.00360218
35,0.0045675
36,0.00573037
37,0.00711872
38,0.00876259
39,0.010694
40,0.012947
41,0.0155576
42,0.0185636
43,0.0220045
44,0.0259216
45,0.0303579
46,0.0353576
47,0.0409667
48,0.047232
49,0.0542018
50,0.0619253
51,0.0704527
52,0.079835
53,0.0901238
54,0.101371
55,0.11363
56,0.126954
57,0.141395
58,0.157007
59,0.173843
60,0.191956
61,0.2114
62,0.232226
63,0.254488
64,0.278235
65,0.303521
66,0.330394
67,0.358904
68,0.389099
69,0.421028
70,0.454737
71,0.490271
72,0.527674
73,0.56699
74,0.60826
75,0.651525
76,0.696823
77,0.744193
78,0.79367
79,0.84529
80,0.899085
81,0.955087
82,1.01333
83,1.07383
84,1.13663
85,1.20174
86,1.2692
87,1.33902
88,1.41122
89,1.48582
90,1.56285
91,1.64231
92,1.72422
93,1.80859
94,1.89543
95,1.98475
96,2.07657
97,2.17087
98,2.26768
99,2.36699
100,2.46881
101,2.57313
102,2.67995
103,2.78927
104,2.9011
105,3.01541
106,3.13221
107,3.25149
108,3.37324
109,3.49744
110,3.6241
111,3.75319
112,3.8847
113,4.01862
114,4.15494
115,4.29363
116,4.43468
117,4.57807
118,4.72378
119,4.87179
120,5.02209
121,5.17464
122,5.32943
123,5.48644
124,5.64564
125,5.807
126,5.97051
127,6.13613
128,6.30384
129,6.47362
130,6.64543
131,6.81926
132,6.99507
133,7.17283
134,7.35251
135,7.5341
136,7.71755
137,7.90284
138,8.08994
139,8.27881
140,8.46944
141,8.66178
142,8.85581
143,9.0515
144,9.24881
145,9.44772
146,9.64819
147,9.8502
148,10.0537
149,10.2587
150,10.4651
151,10.6729
152,10.8821
153,11.0927
154,11.3045
155,11.5177
156,11.7321
157,11.9477
158,12.1645
159,12.3825
160,12.6016
161,12.8218
162,13.043
163,13.2653
164,13.4887
165,13.713
166,13.9382
167,14.1644
168,14.3914
169,14.6193
170,14.8481
171,15.0776
172,15.308
173,15.539
174,15.7708
175,16.0033
176,16.2365
177,16.4702
178,16.7046
179,16.9396
180,17.1751
181,17.4112
182,17.6478
183,17.8848
184,18.1223
185,18.3603
186,18.5986
187,18.8373
188,19.0764
189,19.3158
190,19.5555
191,19.7955
192,20.0357
193,20.2762
194,20.5169
195,20.7578
196,20.9988
197,21.2401
198,21.4814
199,21.7228
200,21.9644
201,22.206
202,22.4476
203,22.6893
204,22.9309
205,23.1726
206,23.4142
