environment | time (s),MEK | MEKPP_percent (dimensionless)
0,0
1,4.47757e-11
2,9.17118e-8
3,4.23486e-6
4,5.15202e-5
5,0.000318812
6,0.0013103
7,0.00409589
8,0.0105317
9,0.0233988
10,0.0464179
11,0.0841236
12,0.14161
13,0.224183
14,0.336974
15,0.484575
16,0.670752
17,0.898278
18,1.16891
19,1.48349
20,1.84209
21,2.2442
22,2.68891
23,3.17493
24,3.70075
25,4.26462
26,4.86467
27,5.49887
28,6.16512
29,6.86127
30,7.58515
31,8.33458
32,9.10741
33,9.90154
34,10.7149
35,11.5455
36,12.3915
37,13.251
38,14.1224
39,15.004
40,15.8943
41,16.7919
42,17.6955
43,18.6038
44,19.5157
45,20.4299
46,21.3456
47,22.2616
48,23.1771
49,24.0911
50,25.003
51,25.9118
52,26.8169
53,27.7177
54,28.6134
55,29.5036
56,30.3876
57,31.265
58,32.1353
59,32.9982
60,33.8531
61,34.6997
62,35.5378
63,36.3669
64,37.1869
65,37.9974
66,38.7983
67,39.5893
68,40.3702
69,41.1409
70,41.9013
71,42.6512
72,43.3906
73,44.1192
74,44.8371
75,45.5442
76,46.2405
77,46.9259
78,47.6003
79,48.2639
80,48.9166
81,49.5583
82,50.1893
83,50.8093
84,51.4186
85,52.0171
86,52.605
87,53.1822
88,53.7488
89,54.305
90,54.8508
91,55.3862
92,55.9115
93,56.4265
94,56.9316
95,57.4267
96,57.912
97,58.3876
98,58.8535
99,59.31
100,59.7571
101,60.1949
102,60.6236
103,61.0432
104,61.4539
105,61.8559
106,62.2492
107,62.6339
108,63.0102
109,63.3782
110,63.738
111,64.0898
112,64.4337
113,64.7697
114,65.0981
115,65.4189
116,65.7323
117,66.0383
118,66.3371
119,66.6289
120,66.9137
121,67.1916
122,67.4628
123,67.7273
124,67.9854
125,68.237
126,68.4824
127,68.7215
128,68.9546
129,69.1818
130,69.403
131,69.6185
132,69.8284
133,70.0327
134,70.2315
135,70.4249
136,70.6131
137,70.7961
138,70.974
139,71.147
140,71.315
141,71.4782
142,71.6367
143,71.7905
144,71.9398
145,72.0846
146,72.225
147,72.3611
148,72.493
149,72.6206
150,72.7442
151,72.8638
152,72.9794
153,73.0912
154,73.1991
155,73.3033
156,73.4038
157,73.5008
158,73.5941
159,73.684
160,73.7705
161,73.8536
162,73.9335
163,74.01
164,74.0834
165,74.1537
166,74.2209
167,74.285
168,74.3462
169,74.4045
170,74.4599
171,74.5124
172,74.5622
173,74.6093
174,74.6537
175,74.6955
176,74.7346
177,74.7712
178,74.8054
179,74.837
180,74.8662
181,74.893
182,74.9175
183,74.9397
184,74.9596
185,74.9773
186,74.9927
187,75.006
188,75.0172
189,75.0263
190,75.0333
191,75.0383
192,75.0412
193,75.0422
194,75.0413
195,75.0384
196,75.0337
197,75.0271
198,75.0187
199,75.0085
200,74.9965
201,74.9827
202,74.9673
203,74.9501
204,74.9313
205,74.9108
206,74.8887
207,74.865
208,74.8397
209,74.8129
210,74.7845
211,74.7546
212,74.7232
213,74.6903
214,74.656
215,74.6202
216,74.5831
217,74.5445
218,74.5045
219,74.4632
220,74.4206
221,74.3766
222,74.3313
223,74.2847
224,74.2368
225,74.1877
226,74.1374
227,74.0858
228,74.033
229,73.979
230,73.9238
231,73.8674
232,73.8099
233,73.7512
234,73.6915
235,73.6306
236,73.5686
237,73.5055
238,73.4413
239,73.3761
240,73.3098
241,73.2425
242,73.1741
243,73.1048
244,73.0344
245,72.963
246,72.8907
247,72.8174
248,72.7431
249,72.6679
250,72.5917
251,72.5146
252,72.4366
253,72.3577
254,72.2779
255,72.1972
256,72.1156
257,72.0331
258,71.9498
259,71.8656
260,71.7806
261,71.6947
262,71.608
263,71.5205
264,71.4322
265,71.3431
266,71.2532
267,71.1625
268,71.071
269,70.9788
270,70.8858
271,70.792
272,70.6975
273,70.6022
274,70.5063
275,70.4096
276,70.3121
277,70.214
278,70.1152
279,70.0157
280,69.9154
281,69.8145
282,69.713
283,69.6107
284,69.5078
285,69.4042
286,69.3
287,69.1952
288,69.0897
289,68.9836
290,68.8768
291,68.7694
292,68.6615
293,68.5529
294,68.4437
295,68.3339
296,68.2236
297,68.1126
298,68.0011
299,67.889
300,67.7763
301,67.6631
302,67.5493
303,67.435
304,67.3201
305,67.2047
306,67.0887
307,66.9723
308,66.8553
309,66.7378
310,66.6197
311,66.5012
312,66.3822
313,66.2626
314,66.1426
315,66.0221
316,65.9011
317,65.7796
318,65.6577
319,65.5353
320,65.4124
321,65.2891
322,65.1653
323,65.0411
324,64.9164
325,64.7913
326,64.6658
327,64.5398
328,64.4134
329,64.2866
330,64.1594
331,64.0318
332,63.9037
333,63.7753
334,63.6464
335,63.5172
336,63.3876
337,63.2576
338,63.1272
339,62.9964
340,62.8653
341,62.7338
342,62.6019
343,62.4697
344,62.3372
345,62.2042
346,62.071
347,61.9374
348,61.8034
349,61.6692
350,61.5346
351,61.3996
352,61.2644
353,61.1288
354,60.9929
355,60.8568
356,60.7203
357,60.5835
358,60.4464
359,60.309
360,60.1714
361,60.0334
362,59.8952
363,59.7567
364,59.6179
365,59.4789
366,59.3396
367,59.2
368,59.0602
369,58.9201
370,58.7798
371,58.6392
372,58.4984
373,58.3574
374,58.2161
375,58.0746
376,57.9328
377,57.7909
378,57.6487
379,57.5063
380,57.3637
381,57.2209
382,57.0779
383,56.9347
384,56.7913
385,56.6477
386,56.5039
387,56.3599
388,56.2157
389,56.0714
390,55.9269
391,55.7822
392,55.6373
393,55.4923
394,55.3471
395,55.2018
396,55.0563
397,54.9107
398,54.7649
399,54.619
400,54.4729
401,54.3267
402,54.1803
403,54.0339
404,53.8873
405,53.7406
406,53.5937
407,53.4468
408,53.2997
409,53.1525
410,53.0053
411,52.8579
412,52.7104
413,52.5628
414,52.4151
415,52.2674
416,52.1195
417,51.9716
418,51.8236
419,51.6755
420,51.5273
421,51.3791
422,51.2308
423,51.0825
424,50.934
425,50.7856
426,50.637
427,50.4884
428,50.3398
429,50.1911
430,50.0424
431,49.8936
