environment | time (s),PI3K | PI3K_percent (dimensionless)
0,0
1,0.0772264
2,0.86294
3,2.25853
4,3.66097
5,4.79276
6,5.63885
7,6.27122
8,6.76494
9,7.17595
10,7.54142
11,7.88503
12,8.22188
13,8.56183
14,8.91179
15,9.27696
16,9.6617
17,10.07
18,10.5057
19,10.9728
20,11.4759
21,12.0197
22,12.6098
23,13.2524
24,13.9546
25,14.7249
26,15.5728
27,16.5096
28,17.5481
29,18.7033
30,19.992
31,21.433
32,23.0463
33,24.8521
34,26.868
35,29.1045
36,31.5591
37,34.2078
38,36.9978
39,39.8459
40,42.6463
41,45.2911
42,47.6934
43,49.8044
44,51.6152
45,53.1459
46,54.4315
47,55.5108
48,56.4193
49,57.1869
50,57.8383
51,58.393
52,58.8668
53,59.2725
54,59.6203
55,59.919
56,60.1757
57,60.3964
58,60.5862
59,60.7494
60,60.8896
61,61.0099
62,61.1131
63,61.2015
64,61.277
65,61.3413
66,61.396
67,61.4422
68,61.4812
69,61.5138
70,61.5409
71,61.5631
72,61.5812
73,61.5957
74,61.607
75,61.6155
76,61.6216
77,61.6257
78,61.6279
79,61.6285
80,61.6278
81,61.6258
82,61.6228
83,61.6189
84,61.6142
85,61.6087
86,61.6027
87,61.5962
88,61.5892
89,61.5818
90,61.574
91,61.5659
92,61.5576
93,61.5491
94,61.5403
95,61.5314
96,61.5223
97,61.5131
98,61.5037
99,61.4943
100,61.4848
101,61.4752
102,61.4655
103,61.4558
104,61.446
105,61.4362
106,61.4263
107,61.4164
108,61.4065
109,61.3965
110,61.3865
111,61.3765
112,61.3665
113,61.3565
114,61.3465
115,61.3364
116,61.3263
117,61.3163
118,61.3062
119,61.2961
120,61.286
121,61.2759
122,61.2658
123,61.2557
124,61.2456
125,61.2354
126,61.2253
127,61.2152
128,61.2051
129,61.1949
130,61.1848
131,61.1747
132,61.1645
133,61.1544
134,61.1443
135,61.1341
136,61.124
137,61.1138
138,61.1037
139,61.0935
140,61.0834
141,61.0732
142,61.0631
143,61.0529
144,61.0428
145,61.0326
146,61.0225
147,61.0123
148,61.0022
149,60.992
150,60.9818
151,60.9717
152,60.9615
153,60.9514
154,60.9412
155,60.931
156,60.9209
157,60.9107
158,60.9005
159,60.8904
160,60.8802
161,60.87
162,60.8598
163,60.8497
164,60.8395
165,60.8293
166,60.8192
167,60.809
168,60.7988
169,60.7886
170,60.7784
171,60.7683
172,60.7581
173,60.7479
174,60.7377
175,60.7275
176,60.7174
177,60.7072
178,60.697
179,60.6868
180,60.6766
181,60.6664
182,60.6562
183,60.646
184,60.6359
185,60.6257
186,60.6155
187,60.6053
188,60.5951
189,60.5849
190,60.5747
191,60.5645
192,60.5543
193,60.5441
194,60.5339
195,60.5237
196,60.5135
197,60.5033
198,60.4931
199,60.4829
200,60.4727
201,60.4625
202,60.4523
203,60.4421
204,60.4319
205,60.4216
206,60.4114
207,60.4012
208,60.391
209,60.3808
210,60.3706
211,60.3604
212,60.3502
213,60.3399
214,60.3297
215,60.3195
216,60.3093
217,60.2991
218,60.2888
219,60.2786
220,60.2684
221,60.2582
222,60.248
223,60.2377
224,60.2275
225,60.2173
226,60.2071
227,60.1968
228,60.1866
229,60.1764
230,60.1661
231,60.1559
232,60.1457
233,60.1354
234,60.1252
235,60.115
236,60.1047
237,60.0945
238,60.0843
239,60.074
240,60.0638
241,60.0536
242,60.0433
243,60.0331
244,60.0228
245,60.0126
246,60.0024
247,59.9921
248,59.9819
249,59.9716
250,59.9614
251,59.9511
252,59.9409
253,59.9306
254,59.9204
255,59.9101
256,59.8999
257,59.8896
258,59.8794
259,59.8691
260,59.8589
261,59.8486
262,59.8384
263,59.8281
264,59.8179
265,59.8076
266,59.7973
267,59.7871
268,59.7768
269,59.7666
270,59.7563
271,59.746
272,59.7358
273,59.7255
274,59.7152
275,59.705
276,59.6947
277,59.6844
278,59.6742
279,59.6639
280,59.6536
281,59.6434
282,59.6331
283,59.6228
284,59.6126
285,59.6023
286,59.592
287,59.5817
288,59.5715
289,59.5612
290,59.5509
291,59.5406
292,59.5304
293,59.5201
294,59.5098
295,59.4995
296,59.4892
297,59.479
298,59.4687
299,59.4584
300,59.4481
301,59.4378
302,59.4275
303,59.4173
304,59.407
305,59.3967
306,59.3864
307,59.3761
308,59.3658
309,59.3555
310,59.3452
311,59.335
312,59.3247
313,59.3144
314,59.3041
315,59.2938
316,59.2835
317,59.2732
318,59.2629
319,59.2526
320,59.2423
321,59.232
322,59.2217
323,59.2114
324,59.2011
325,59.1908
326,59.1805
327,59.1702
328,59.1599
329,59.1496
330,59.1393
331,59.129
332,59.1187
333,59.1084
334,59.0981
335,59.0878
336,59.0775
337,59.0672
338,59.0569
339,59.0465
340,59.0362
341,59.0259
342,59.0156
343,59.0053
344,58.995
345,58.9847
346,58.9744
347,58.964
348,58.9537
349,58.9434
350,58.9331
351,58.9228
352,58.9125
353,58.9021
354,58.8918
355,58.8815
356,58.8712
357,58.8609
358,58.8505
359,58.8402
360,58.8299
361,58.8196
362,58.8092
363,58.7989
364,58.7886
365,58.7783
366,58.7679
367,58.7576
368,58.7473
369,58.737
370,58.7266
371,58.7163
372,58.706
373,58.6956
374,58.6853
375,58.675
376,58.6646
377,58.6543
378,58.644
379,58.6336
380,58.6233
381,58.613
382,58.6026
383,58.5923
384,58.582
385,58.5716
386,58.5613
387,58.5509
388,58.5406
389,58.5303
390,58.5199
391,58.5096
392,58.4992
393,58.4889
394,58.4786
395,58.4682
396,58.4579
397,58.4475
398,58.4372
399,58.4268
400,58.4165
401,58.4061
402,58.3958
403,58.3854
404,58.3751
405,58.3647
406,58.3544
407,58.344
408,58.3337
409,58.3233
410,58.313
411,58.3026
412,58.2923
413,58.2819
414,58.2716
415,58.2612
416,58.2509
417,58.2405
418,58.2301
419,58.2198
420,58.2094
421,58.1991
422,58.1887
423,58.1784
424,58.168
425,58.1576
426,58.1473
427,58.1369
428,58.1265
429,58.1162
430,58.1058
431,58.0955
432,58.0851
433,58.0747
434,58.0644
435,58.054
436,58.0436
437,58.0333
438,58.0229
439,58.0125
440,58.0022
441,57.9918
442,57.9814
443,57.9711
444,57.9607
445,57.9503
446,57.9399
447,57.9296
448,57.9192
449,57.9088
450,57.8985
451,57.8881
452,57.8777
453,57.8673
454,57.857
455,57.8466
456,57.8362
457,57.8258
458,57.8155
459,57.8051
