environment | time (s),RAF | RAF_star (nm)
0,0
1,0.000784775
2,0.0146453
3,0.0599132
4,0.146616
5,0.276642
6,0.4462
7,0.648551
8,0.875736
9,1.11949
10,1.37174
11,1.62491
12,1.87219
13,2.10768
14,2.32667
15,2.52574
16,2.70298
17,2.85797
18,2.99169
19,3.10614
20,3.20385
21,3.28739
22,3.35901
23,3.4205
24,3.47327
25,3.51839
26,3.55673
27,3.58902
28,3.61585
29,3.63776
30,3.6552
31,3.6686
32,3.67831
33,3.68469
34,3.68806
35,3.68873
36,3.68698
37,3.68309
38,3.67734
39,3.66999
40,3.66127
41,3.65139
42,3.64054
43,3.62888
44,3.61653
45,3.60358
46,3.59012
47,3.57621
48,3.56191
49,3.54726
50,3.53229
51,3.51705
52,3.50155
53,3.48582
54,3.46989
55,3.45378
56,3.4375
57,3.42107
58,3.4045
59,3.38781
60,3.371
61,3.3541
62,3.3371
63,3.32002
64,3.30286
65,3.28564
66,3.26835
67,3.25101
68,3.23362
69,3.21618
70,3.1987
71,3.18119
72,3.16365
73,3.14607
74,3.12848
75,3.11087
76,3.09323
77,3.07559
78,3.05793
79,3.04027
80,3.0226
81,3.00493
82,2.98726
83,2.9696
84,2.95193
85,2.93428
86,2.91663
87,2.899
88,2.88138
89,2.86378
90,2.84619
91,2.82862
92,2.81108
93,2.79355
94,2.77605
95,2.75858
96,2.74114
97,2.72373
98,2.70634
99,2.68899
100,2.67168
101,2.6544
102,2.63716
103,2.61995
104,2.60279
105,2.58567
106,2.56859
107,2.55155
108,2.53456
109,2.51761
110,2.50072
111,2.48387
112,2.46707
113,2.45032
114,2.43362
115,2.41698
116,2.40039
117,2.38386
118,2.36738
119,2.35095
120,2.33459
121,2.31828
122,2.30204
123,2.28585
124,2.26972
125,2.25366
126,2.23766
127,2.22172
128,2.20585
129,2.19004
130,2.17429
131,2.15861
132,2.143
133,2.12746
134,2.11198
135,2.09657
136,2.08123
137,2.06596
138,2.05076
139,2.03563
140,2.02057
141,2.00558
142,1.99066
143,1.97582
144,1.96105
145,1.94635
146,1.93172
147,1.91717
148,1.90269
149,1.88829
150,1.87396
151,1.8597
152,1.84552
153,1.83142
154,1.81739
155,1.80343
156,1.78955
157,1.77575
158,1.76203
159,1.74838
160,1.7348
161,1.72131
162,1.70789
163,1.69455
164,1.68128
165,1.66809
166,1.65498
167,1.64195
168,1.62899
169,1.61611
170,1.60331
171,1.59058
172,1.57793
173,1.56536
174,1.55287
175,1.54045
176,1.52811
177,1.51585
178,1.50367
179,1.49156
180,1.47953
181,1.46757
182,1.4557
183,1.4439
184,1.43217
185,1.42052
186,1.40895
187,1.39746
188,1.38604
189,1.37469
190,1.36342
191,1.35223
192,1.34111
193,1.33007
194,1.3191
195,1.30821
196,1.29739
197,1.28665
198,1.27598
199,1.26538
200,1.25486
201,1.24441
202,1.23404
203,1.22374
204,1.21351
205,1.20335
206,1.19327
207,1.18325
208,1.17331
209,1.16344
210,1.15365
211,1.14392
212,1.13426
213,1.12468
214,1.11516
215,1.10571
216,1.09634
217,1.08703
218,1.07779
219,1.06862
220,1.05952
221,1.05049
222,1.04152
223,1.03262
224,1.02379
225,1.01503
226,1.00633
227,0.9977
228,0.989134
229,0.980634
230,0.972199
231,0.963829
232,0.955523
233,0.947281
234,0.939104
235,0.93099
236,0.922939
237,0.91495
238,0.907025
239,0.899161
240,0.89136
241,0.88362
242,0.875941
243,0.868322
244,0.860765
245,0.853267
246,0.845829
247,0.83845
248,0.831131
249,0.82387
250,0.816668
251,0.809523
252,0.802437
253,0.795407
254,0.788435
255,0.781519
256,0.774659
257,0.767856
258,0.761108
259,0.754415
260,0.747777
261,0.741193
262,0.734664
263,0.728189
264,0.721767
265,0.715398
266,0.709081
267,0.702818
268,0.696606
269,0.690446
270,0.684338
271,0.67828
272,0.672273
273,0.666317
274,0.66041
275,0.654553
276,0.648746
277,0.642987
278,0.637278
279,0.631616
280,0.626002
281,0.620436
282,0.614918
283,0.609446
284,0.604021
285,0.598642
286,0.593309
287,0.588022
288,0.58278
289,0.577583
290,0.57243
291,0.567322
292,0.562258
293,0.557237
294,0.55226
295,0.547326
296,0.542434
297,0.537585
298,0.532778
299,0.528013
300,0.523289
301,0.518606
302,0.513964
303,0.509363
304,0.504801
305,0.50028
306,0.495798
307,0.491355
308,0.486951
309,0.482586
310,0.47826
311,0.473971
312,0.46972
313,0.465506
314,0.46133
315,0.45719
316,0.453087
317,0.449021
318,0.44499
319,0.440995
320,0.437036
321,0.433111
322,0.429222
323,0.425367
324,0.421546
325,0.417759
326,0.414006
327,0.410287
328,0.406601
329,0.402947
330,0.399327
331,0.395738
332,0.392182
333,0.388658
334,0.385165
335,0.381704
336,0.378274
337,0.374874
338,0.371505
339,0.368166
340,0.364858
341,0.361579
342,0.35833
343,0.35511
344,0.351919
345,0.348757
346,0.345623
347,0.342518
348,0.339441
349,0.336392
350,0.33337
351,0.330376
352,0.327409
353,0.324469
354,0.321555
355,0.318668
356,0.315807
357,0.312972
358,0.310163
359,0.30738
360,0.304622
361,0.301889
362,0.29918
363,0.296497
364,0.293838
365,0.291203
366,0.288592
367,0.286006
368,0.283442
369,0.280902
370,0.278386
371,0.275892
372,0.273421
373,0.270973
374,0.268547
375,0.266144
376,0.263762
377,0.261402
378,0.259064
379,0.256747
380,0.254452
381,0.252178
382,0.249924
383,0.247691
384,0.245479
385,0.243287
386,0.241115
387,0.238963
388,0.236831
389,0.234718
390,0.232625
391,0.230551
392,0.228497
393,0.226461
394,0.224443
395,0.222445
396,0.220465
397,0.218503
398,0.216559
399,0.214633
400,0.212725
401,0.210834
402,0.208961
403,0.207105
404,0.205266
405,0.203444
406,0.201639
407,0.199851
408,0.198079
409,0.196323
410,0.194584
411,0.19286
412,0.191153
413,0.189461
414,0.187785
415,0.186125
