environment | time (s),PI3K | RP_percent (dimensionless)
0,0
1,1.07268
2,8.19489
3,20.2851
4,33.2409
5,44.8164
6,54.3769
7,62.0077
8,68.0169
9,72.733
10,76.4388
11,79.36
12,81.6708
13,83.5039
14,84.9601
15,86.1162
16,87.0305
17,87.7475
18,88.3014
19,88.7181
20,89.0174
21,89.214
22,89.3187
23,89.3393
24,89.2803
25,89.1443
26,88.9311
27,88.6386
28,88.2623
29,87.7952
30,87.2277
31,86.5472
32,85.7378
33,84.7805
34,83.6534
35,82.3332
36,80.7981
37,79.0328
38,77.0357
39,74.826
40,72.4483
41,69.9697
42,67.4702
43,65.0274
44,62.7047
45,60.5447
46,58.5703
47,56.7881
48,55.1939
49,53.7771
50,52.5237
51,51.4181
52,50.4451
53,49.5898
54,48.8387
55,48.1794
56,47.6006
57,47.0923
58,46.6459
59,46.2535
60,45.9083
61,45.6043
62,45.3363
63,45.0997
64,44.8905
65,44.7052
66,44.5407
67,44.3945
68,44.2641
69,44.1475
70,44.043
71,43.949
72,43.8642
73,43.7874
74,43.7175
75,43.6538
76,43.5954
77,43.5416
78,43.4918
79,43.4455
80,43.4023
81,43.3618
82,43.3236
83,43.2875
84,43.2531
85,43.2203
86,43.1889
87,43.1586
88,43.1293
89,43.1009
90,43.0734
91,43.0465
92,43.0202
93,42.9944
94,42.9691
95,42.9442
96,42.9196
97,42.8954
98,42.8714
99,42.8477
100,42.8241
101,42.8008
102,42.7776
103,42.7545
104,42.7316
105,42.7088
106,42.686
107,42.6634
108,42.6408
109,42.6184
110,42.5959
111,42.5736
112,42.5512
113,42.529
114,42.5067
115,42.4846
116,42.4624
117,42.4403
118,42.4182
119,42.3961
120,42.3741
121,42.3521
122,42.3301
123,42.3081
124,42.2862
125,42.2642
126,42.2423
127,42.2204
128,42.1986
129,42.1767
130,42.1549
131,42.133
132,42.1112
133,42.0895
134,42.0677
135,42.0459
136,42.0242
137,42.0025
138,41.9808
139,41.9591
140,41.9374
141,41.9157
142,41.8941
143,41.8724
144,41.8508
145,41.8292
146,41.8076
147,41.786
148,41.7645
149,41.7429
150,41.7214
151,41.6999
152,41.6784
153,41.6569
154,41.6354
155,41.6139
156,41.5925
157,41.5711
158,41.5496
159,41.5282
160,41.5068
161,41.4855
162,41.4641
163,41.4427
164,41.4214
165,41.4001
166,41.3788
167,41.3575
168,41.3362
169,41.3149
170,41.2937
171,41.2724
172,41.2512
173,41.23
174,41.2088
175,41.1876
176,41.1665
177,41.1453
178,41.1242
179,41.103
180,41.0819
181,41.0608
182,41.0397
183,41.0187
184,40.9976
185,40.9765
186,40.9555
187,40.9345
188,40.9135
189,40.8925
190,40.8715
191,40.8506
192,40.8296
193,40.8087
194,40.7877
195,40.7668
196,40.7459
197,40.7251
198,40.7042
199,40.6833
200,40.6625
201,40.6417
202,40.6208
203,40.6
204,40.5793
205,40.5585
206,40.5377
207,40.517
208,40.4962
209,40.4755
210,40.4548
211,40.4341
212,40.4134
213,40.3928
214,40.3721
215,40.3515
216,40.3308
217,40.3102
218,40.2896
219,40.269
220,40.2485
221,40.2279
222,40.2074
223,40.1868
224,40.1663
225,40.1458
226,40.1253
227,40.1048
228,40.0844
229,40.0639
230,40.0435
231,40.023
232,40.0026
233,39.9822
234,39.9618
235,39.9415
236,39.9211
237,39.9007
238,39.8804
239,39.8601
240,39.8398
241,39.8195
242,39.7992
243,39.7789
244,39.7587
245,39.7384
246,39.7182
247,39.698
248,39.6778
249,39.6576
250,39.6374
251,39.6172
252,39.5971
253,39.5769
254,39.5568
255,39.5367
256,39.5166
257,39.4965
258,39.4764
259,39.4564
260,39.4363
261,39.4163
262,39.3963
263,39.3763
264,39.3563
265,39.3363
266,39.3163
267,39.2963
268,39.2764
269,39.2565
270,39.2365
271,39.2166
272,39.1967
273,39.1768
274,39.157
275,39.1371
276,39.1173
277,39.0974
278,39.0776
279,39.0578
280,39.038
281,39.0182
282,38.9985
283,38.9787
284,38.959
285,38.9392
286,38.9195
287,38.8998
288,38.8801
289,38.8604
290,38.8408
291,38.8211
292,38.8015
293,38.7818
294,38.7622
295,38.7426
296,38.723
297,38.7034
298,38.6839
299,38.6643
300,38.6448
301,38.6253
302,38.6057
303,38.5862
304,38.5667
305,38.5473
306,38.5278
307,38.5083
308,38.4889
309,38.4695
310,38.45
311,38.4306
312,38.4112
313,38.3919
314,38.3725
315,38.3531
316,38.3338
317,38.3145
318,38.2951
319,38.2758
320,38.2565
321,38.2373
322,38.218
323,38.1987
324,38.1795
325,38.1602
326,38.141
327,38.1218
328,38.1026
329,38.0834
330,38.0643
331,38.0451
332,38.0259
333,38.0068
334,37.9877
335,37.9686
336,37.9495
337,37.9304
338,37.9113
339,37.8922
340,37.8732
341,37.8542
342,37.8351
343,37.8161
344,37.7971
345,37.7781
346,37.7591
347,37.7402
348,37.7212
349,37.7023
350,37.6833
351,37.6644
352,37.6455
353,37.6266
354,37.6077
355,37.5889
356,37.57
357,37.5512
358,37.5323
359,37.5135
360,37.4947
361,37.4759
362,37.4571
363,37.4383
364,37.4196
365,37.4008
366,37.3821
367,37.3633
368,37.3446
369,37.3259
370,37.3072
371,37.2885
372,37.2699
373,37.2512
374,37.2326
375,37.2139
376,37.1953
377,37.1767
378,37.1581
379,37.1395
380,37.1209
381,37.1024
382,37.0838
383,37.0653
384,37.0467
385,37.0282
386,37.0097
387,36.9912
388,36.9727
389,36.9543
390,36.9358
391,36.9174
392,36.8989
393,36.8805
394,36.8621
395,36.8437
396,36.8253
397,36.8069
398,36.7886
399,36.7702
400,36.7519
401,36.7335
402,36.7152
403,36.6969
404,36.6786
405,36.6603
406,36.642
407,36.6238
408,36.6055
409,36.5873
410,36.569
411,36.5508
412,36.5326
413,36.5144
414,36.4962
415,36.4781
416,36.4599
417,36.4418
418,36.4236
419,36.4055
420,36.3874
421,36.3693
422,36.3512
423,36.3331
424,36.315
425,36.297
426,36.2789
427,36.2609
428,36.2429
429,36.2249
430,36.2069
431,36.1889
432,36.1709
433,36.1529
434,36.135
435,36.117
436,36.0991
437,36.0812
438,36.0632
439,36.0453
440,36.0274
441,36.0096
442,35.9917
443,35.9738
444,35.956
445,35.9382
446,35.9203
447,35.9025
448,35.8847
449,35.8669
450,35.8492
451,35.8314
452,35.8136
453,35.7959
454,35.7782
455,35.7604
456,35.7427
457,35.725
458,35.7073
459,35.6896
460,35.672
461,35.6543
462,35.6367
463,35.619
464,35.6014
465,35.5838
466,35.5662
467,35.5486
468,35.531
469,35.5134
470,35.4959
471,35.4783
472,35.4608
473,35.4433
474,35.4258
475,35.4083
476,35.3908
477,35.3733
478,35.3558
479,35.3383
480,35.3209
481,35.3034
482,35.286
483,35.2686
484,35.2512
485,35.2338
486,35.2164
487,35.199
488,35.1817
489,35.1643
490,35.147
491,35.1296
492,35.1123
493,35.095
494,35.0777
495,35.0604
496,35.0431
497,35.0259
498,35.0086
499,34.9914
500,34.9741
501,34.9569
502,34.9397
503,34.9225
504,34.9053
505,34.8881
506,34.8709
507,34.8538
508,34.8366
509,34.8195
510,34.8024
511,34.7852
512,34.7681
513,34.751
514,34.7339
515,34.7169
516,34.6998
517,34.6827
518,34.6657
519,34.6487
520,34.6316
521,34.6146
522,34.5976
523,34.5806
524,34.5636
525,34.5467
526,34.5297
527,34.5128
528,34.4958
529,34.4789
530,34.462
531,34.4451
532,34.4282
533,34.4113
534,34.3944
535,34.3775
536,34.3607
537,34.3438
538,34.327
539,34.3101
540,34.2933
541,34.2765
542,34.2597
543,34.2429
544,34.2262
545,34.2094
546,34.1926
547,34.1759
548,34.1592
549,34.1424
550,34.1257
551,34.109
552,34.0923
553,34.0756
554,34.059
555,34.0423
556,34.0257
557,34.009
558,33.9924
559,33.9758
560,33.9592
561,33.9425
562,33.926
563,33.9094
564,33.8928
565,33.8762
566,33.8597
567,33.8432
568,33.8266
569,33.8101
570,33.7936
571,33.7771
572,33.7606
573,33.7441
574,33.7276
575,33.7112
576,33.6947
577,33.6783
578,33.6619
579,33.6454
580,33.629
581,33.6126
582,33.5962
583,33.5799
584,33.5635
585,33.5471
586,33.5308
587,33.5144
588,33.4981
589,33.4818
590,33.4655
591,33.4492
592,33.4329
593,33.4166
594,33.4003
595,33.3841
596,33.3678
597,33.3516
598,33.3354
599,33.3191
600,33.3029
601,33.2867
602,33.2705
603,33.2544
604,33.2382
605,33.222
606,33.2059
607,33.1897
608,33.1736
609,33.1575
610,33.1414
611,33.1253
612,33.1092
613,33.0931
614,33.077
615,33.0609
616,33.0449
617,33.0288
618,33.0128
619,32.9968
620,32.9808
621,32.9648
622,32.9488
623,32.9328
624,32.9168
625,32.9008
626,32.8849
627,32.8689
628,32.853
629,32.8371
630,32.8211
631,32.8052
632,32.7893
633,32.7734
634,32.7576
635,32.7417
636,32.7258
637,32.71
638,32.6941
639,32.6783
640,32.6625
641,32.6467
642,32.6309
643,32.6151
644,32.5993
645,32.5835
646,32.5677
647,32.552
648,32.5362
649,32.5205
650,32.5048
651,32.489
652,32.4733
653,32.4576
654,32.442
