environment | time (s),PI3K | ShP_percent (dimensionless)
0,0
1,0.102572
2,1.19565
3,3.63668
4,7.01935
5,10.9211
6,15.0747
7,19.3289
8,23.5977
9,27.8295
10,31.9921
11,36.0642
12,40.0316
13,43.8842
14,47.6146
15,51.2177
16,54.6894
17,58.0265
18,61.2268
19,64.2884
20,67.2099
21,69.9904
22,72.6291
23,75.1255
24,77.4795
25,79.6911
26,81.7608
27,83.6891
28,85.4771
29,87.1263
30,88.6385
31,90.0162
32,91.2626
33,92.3815
34,93.3779
35,94.2578
36,95.0284
37,95.6981
38,96.2764
39,96.7736
40,97.2
41,97.566
42,97.8807
43,98.1521
44,98.3871
45,98.5911
46,98.7688
47,98.9237
48,99.0589
49,99.1771
50,99.2804
51,99.3706
52,99.4495
53,99.5184
54,99.5787
55,99.6313
56,99.6772
57,99.7173
58,99.7523
59,99.7828
60,99.8095
61,99.8328
62,99.853
63,99.8707
64,99.8862
65,99.8996
66,99.9114
67,99.9216
68,99.9305
69,99.9383
70,99.9451
71,99.951
72,99.9562
73,99.9607
74,99.9646
75,99.968
76,99.971
77,99.9735
78,99.9758
79,99.9778
80,99.9795
81,99.981
82,99.9823
83,99.9834
84,99.9844
85,99.9852
86,99.986
87,99.9866
88,99.9872
89,99.9877
90,99.9881
91,99.9885
92,99.9888
93,99.9891
94,99.9894
95,99.9896
96,99.9898
97,99.99
98,99.9901
99,99.9902
100,99.9903
101,99.9904
102,99.9905
103,99.9906
104,99.9906
105,99.9907
106,99.9908
107,99.9908
108,99.9908
109,99.9909
110,99.9909
111,99.9909
112,99.991
113,99.991
114,99.991
115,99.991
116,99.991
117,99.991
118,99.991
119,99.9911
120,99.9911
121,99.9911
122,99.9911
123,99.9911
124,99.9911
125,99.9911
126,99.9911
127,99.9911
128,99.9911
129,99.9911
130,99.9911
131,99.9911
132,99.9911
133,99.9912
134,99.9912
135,99.9912
136,99.9912
137,99.9912
138,99.9912
139,99.9912
140,99.9912
141,99.9912
142,99.9912
143,99.9912
144,99.9912
145,99.9912
146,99.9912
147,99.9912
148,99.9912
149,99.9912
150,99.9912
151,99.9912
152,99.9912
153,99.9912
154,99.9912
155,99.9912
156,99.9912
157,99.9912
158,99.9912
159,99.9913
160,99.9913
161,99.9913
162,99.9913
163,99.9913
164,99.9913
165,99.9913
166,99.9913
167,99.9913
168,99.9913
169,99.9913
170,99.9913
171,99.9913
172,99.9913
173,99.9913
174,99.9913
175,99.9913
176,99.9913
177,99.9913
178,99.9913
179,99.9913
180,99.9913
181,99.9913
182,99.9913
183,99.9913
184,99.9913
185,99.9913
186,99.9913
187,99.9913
188,99.9914
189,99.9914
190,99.9914
191,99.9914
192,99.9914
193,99.9914
194,99.9914
195,99.9914
196,99.9914
197,99.9914
198,99.9914
199,99.9914
200,99.9914
201,99.9914
202,99.9914
203,99.9914
204,99.9914
205,99.9914
206,99.9914
207,99.9914
208,99.9914
209,99.9914
210,99.9914
211,99.9914
212,99.9914
213,99.9914
214,99.9914
215,99.9914
216,99.9914
217,99.9915
218,99.9915
219,99.9915
220,99.9915
221,99.9915
222,99.9915
223,99.9915
224,99.9915
225,99.9915
226,99.9915
227,99.9915
228,99.9915
229,99.9915
230,99.9915
231,99.9915
232,99.9915
233,99.9915
234,99.9915
235,99.9915
236,99.9915
237,99.9915
238,99.9915
239,99.9915
240,99.9915
241,99.9915
242,99.9915
243,99.9915
244,99.9915
245,99.9915
246,99.9915
247,99.9916
248,99.9916
249,99.9916
250,99.9916
251,99.9916
252,99.9916
253,99.9916
254,99.9916
255,99.9916
256,99.9916
257,99.9916
258,99.9916
259,99.9916
260,99.9916
261,99.9916
262,99.9916
263,99.9916
264,99.9916
265,99.9916
266,99.9916
267,99.9916
268,99.9916
269,99.9916
270,99.9916
271,99.9916
272,99.9916
273,99.9916
274,99.9916
275,99.9916
276,99.9916
277,99.9916
278,99.9917
279,99.9917
280,99.9917
281,99.9917
282,99.9917
283,99.9917
284,99.9917
285,99.9917
286,99.9917
287,99.9917
288,99.9917
289,99.9917
290,99.9917
291,99.9917
292,99.9917
293,99.9917
294,99.9917
295,99.9917
296,99.9917
297,99.9917
298,99.9917
299,99.9917
300,99.9917
301,99.9917
302,99.9917
303,99.9917
304,99.9917
305,99.9917
306,99.9917
307,99.9917
308,99.9917
309,99.9917
310,99.9918
311,99.9918
312,99.9918
313,99.9918
314,99.9918
315,99.9918
316,99.9918
317,99.9918
318,99.9918
319,99.9918
320,99.9918
321,99.9918
322,99.9918
323,99.9918
324,99.9918
325,99.9918
326,99.9918
327,99.9918
328,99.9918
329,99.9918
330,99.9918
331,99.9918
332,99.9918
333,99.9918
334,99.9918
335,99.9918
336,99.9918
337,99.9918
338,99.9918
339,99.9918
340,99.9918
341,99.9918
342,99.9919
343,99.9919
344,99.9919
345,99.9919
346,99.9919
347,99.9919
348,99.9919
349,99.9919
350,99.9919
351,99.9919
352,99.9919
353,99.9919
354,99.9919
355,99.9919
356,99.9919
357,99.9919
358,99.9919
359,99.9919
360,99.9919
361,99.9919
362,99.9919
363,99.9919
364,99.9919
365,99.9919
366,99.9919
367,99.9919
368,99.9919
369,99.9919
370,99.9919
371,99.9919
372,99.9919
373,99.9919
374,99.9919
375,99.992
376,99.992
377,99.992
378,99.992
379,99.992
380,99.992
381,99.992
382,99.992
383,99.992
384,99.992
385,99.992
386,99.992
387,99.992
388,99.992
389,99.992
390,99.992
391,99.992
392,99.992
393,99.992
394,99.992
395,99.992
396,99.992
397,99.992
398,99.992
399,99.992
400,99.992
401,99.992
402,99.992
403,99.992
404,99.992
405,99.992
406,99.992
407,99.992
408,99.992
409,99.992
410,99.9921
411,99.9921
412,99.9921
413,99.9921
414,99.9921
415,99.9921
416,99.9921
417,99.9921
418,99.9921
419,99.9921
420,99.9921
421,99.9921
422,99.9921
423,99.9921
424,99.9921
425,99.9921
426,99.9921
427,99.9921
428,99.9921
429,99.9921
430,99.9921
431,99.9921
432,99.9921
433,99.9921
434,99.9921
435,99.9921
436,99.9921
437,99.9921
438,99.9921
439,99.9921
440,99.9921
441,99.9921
442,99.9921
443,99.9921
444,99.9921
445,99.9922
446,99.9922
447,99.9922
448,99.9922
449,99.9922
450,99.9922
451,99.9922
452,99.9922
453,99.9922
454,99.9922
455,99.9922
456,99.9922
457,99.9922
458,99.9922
459,99.9922
460,99.9922
461,99.9922
462,99.9922
463,99.9922
464,99.9922
465,99.9922
466,99.9922
467,99.9922
468,99.9922
469,99.9922
470,99.9922
471,99.9922
472,99.9922
473,99.9922
474,99.9922
475,99.9922
476,99.9922
477,99.9922
478,99.9922
479,99.9922
480,99.9922
481,99.9923
482,99.9923
483,99.9923
484,99.9923
485,99.9923
486,99.9923
487,99.9923
488,99.9923
489,99.9923
490,99.9923
491,99.9923
492,99.9923
493,99.9923
494,99.9923
495,99.9923
496,99.9923
497,99.9923
498,99.9923
499,99.9923
500,99.9923
501,99.9923
502,99.9923
503,99.9923
504,99.9923
505,99.9923
506,99.9923
507,99.9923
508,99.9923
509,99.9923
510,99.9923
511,99.9923
512,99.9923
513,99.9923
514,99.9923
515,99.9923
516,99.9923
517,99.9923
518,99.9924
519,99.9924
520,99.9924
521,99.9924
522,99.9924
523,99.9924
524,99.9924
525,99.9924
526,99.9924
527,99.9924
528,99.9924
529,99.9924
530,99.9924
531,99.9924
532,99.9924
533,99.9924
534,99.9924
535,99.9924
536,99.9924
537,99.9924
538,99.9924
539,99.9924
540,99.9924
541,99.9924
542,99.9924
543,99.9924
544,99.9924
545,99.9924
546,99.9924
547,99.9924
548,99.9924
549,99.9924
550,99.9924
551,99.9924
552,99.9924
553,99.9924
554,99.9924
555,99.9924
556,99.9925
557,99.9925
558,99.9925
559,99.9925
560,99.9925
561,99.9925
562,99.9925
563,99.9925
564,99.9925
565,99.9925
566,99.9925
567,99.9925
568,99.9925
569,99.9925
570,99.9925
571,99.9925
572,99.9925
573,99.9925
574,99.9925
575,99.9925
576,99.9925
577,99.9925
578,99.9925
579,99.9925
580,99.9925
581,99.9925
582,99.9925
583,99.9925
584,99.9925
585,99.9925
586,99.9925
587,99.9925
588,99.9925
589,99.9925
590,99.9925
591,99.9925
592,99.9925
593,99.9925
594,99.9925
595,99.9925
596,99.9926
597,99.9926
598,99.9926
599,99.9926
600,99.9926
601,99.9926
602,99.9926
603,99.9926
604,99.9926
605,99.9926
606,99.9926
607,99.9926
608,99.9926
609,99.9926
610,99.9926
611,99.9926
612,99.9926
613,99.9926
614,99.9926
615,99.9926
616,99.9926
617,99.9926
618,99.9926
619,99.9926
620,99.9926
621,99.9926
622,99.9926
623,99.9926
624,99.9926
625,99.9926
626,99.9926
627,99.9926
628,99.9926
629,99.9926
630,99.9926
631,99.9926
632,99.9926
633,99.9926
634,99.9926
635,99.9926
636,99.9926
637,99.9927
638,99.9927
639,99.9927
640,99.9927
641,99.9927
642,99.9927
643,99.9927
644,99.9927
645,99.9927
646,99.9927
647,99.9927
648,99.9927
649,99.9927
650,99.9927
651,99.9927
652,99.9927
653,99.9927
654,99.9927
655,99.9927
656,99.9927
657,99.9927
658,99.9927
659,99.9927
660,99.9927
661,99.9927
662,99.9927
663,99.9927
664,99.9927
665,99.9927
666,99.9927
667,99.9927
668,99.9927
669,99.9927
670,99.9927
671,99.9927
672,99.9927
673,99.9927
674,99.9927
675,99.9927
676,99.9927
677,99.9927
678,99.9927
679,99.9928
680,99.9928
681,99.9928
682,99.9928
683,99.9928
684,99.9928
685,99.9928
686,99.9928
687,99.9928
688,99.9928
689,99.9928
690,99.9928
691,99.9928
692,99.9928
693,99.9928
694,99.9928
695,99.9928
696,99.9928
697,99.9928
698,99.9928
699,99.9928
700,99.9928
701,99.9928
702,99.9928
703,99.9928
704,99.9928
705,99.9928
706,99.9928
707,99.9928
708,99.9928
709,99.9928
710,99.9928
711,99.9928
712,99.9928
713,99.9928
714,99.9928
715,99.9928
716,99.9928
717,99.9928
718,99.9928
719,99.9928
720,99.9928
721,99.9928
722,99.9928
723,99.9929
724,99.9929
725,99.9929
726,99.9929
727,99.9929
728,99.9929
729,99.9929
730,99.9929
731,99.9929
732,99.9929
733,99.9929
734,99.9929
735,99.9929
736,99.9929
737,99.9929
738,99.9929
739,99.9929
740,99.9929
741,99.9929
742,99.9929
743,99.9929
744,99.9929
745,99.9929
746,99.9929
747,99.9929
748,99.9929
749,99.9929
750,99.9929
751,99.9929
752,99.9929
753,99.9929
754,99.9929
755,99.9929
756,99.9929
757,99.9929
758,99.9929
759,99.9929
760,99.9929
761,99.9929
762,99.9929
763,99.9929
764,99.9929
765,99.9929
766,99.9929
767,99.9929
768,99.993
769,99.993
770,99.993
771,99.993
772,99.993
773,99.993
774,99.993
775,99.993
776,99.993
777,99.993
778,99.993
779,99.993
780,99.993
781,99.993
782,99.993
783,99.993
784,99.993
785,99.993
786,99.993
787,99.993
788,99.993
789,99.993
790,99.993
791,99.993
792,99.993
793,99.993
794,99.993
795,99.993
796,99.993
797,99.993
798,99.993
799,99.993
800,99.993
801,99.993
802,99.993
803,99.993
804,99.993
805,99.993
806,99.993
807,99.993
808,99.993
809,99.993
810,99.993
811,99.993
812,99.993
813,99.993
814,99.993
815,99.9931
816,99.9931
817,99.9931
818,99.9931
819,99.9931
820,99.9931
821,99.9931
822,99.9931
823,99.9931
824,99.9931
825,99.9931
826,99.9931
827,99.9931
828,99.9931
829,99.9931
830,99.9931
831,99.9931
832,99.9931
833,99.9931
834,99.9931
835,99.9931
836,99.9931
837,99.9931
838,99.9931
839,99.9931
840,99.9931
841,99.9931
842,99.9931
843,99.9931
844,99.9931
845,99.9931
846,99.9931
847,99.9931
848,99.9931
849,99.9931
850,99.9931
851,99.9931
852,99.9931
853,99.9931
854,99.9931
855,99.9931
856,99.9931
857,99.9931
858,99.9931
859,99.9931
860,99.9931
861,99.9931
862,99.9931
863,99.9931
864,99.9931
865,99.9932
866,99.9932
867,99.9932
868,99.9932
869,99.9932
870,99.9932
871,99.9932
872,99.9932
873,99.9932
874,99.9932
875,99.9932
876,99.9932
877,99.9932
878,99.9932
879,99.9932
880,99.9932
881,99.9932
882,99.9932
883,99.9932
884,99.9932
885,99.9932
886,99.9932
887,99.9932
